Country Name,Series Name,year,value
Afghanistan,Cost of business start-up procedures (% of GNI per capita),2014,15.1
Afghanistan,"Cost of business start-up procedures, female (% of GNI per capita)",2014,15.1
Afghanistan,"Cost of business start-up procedures, male (% of GNI per capita)",2014,15.1
Afghanistan,Time required to start a business (days),2014,8.5
Afghanistan,"Time required to start a business, female (days)",2014,9
Afghanistan,"Time required to start a business, male (days)",2014,8
Afghanistan,Unemployment with advanced education (% of total labor force with advanced education),2014,7.860000134
Afghanistan,"Unemployment with advanced education, female (% of female labor force with advanced education)",2014,9.960000038
Afghanistan,"Unemployment with advanced education, male (% of male labor force with advanced education)",2014,7.579999924
Afghanistan,Unemployment with intermediate education (% of total labor force with intermediate education),2014,10.61999989
Afghanistan,"Unemployment with intermediate education, female (% of female labor force with intermediate education)",2014,24.36000061
Afghanistan,"Unemployment with intermediate education, male (% of male labor force with intermediate education)",2014,8.590000153
Afghanistan,Unemployment with basic education (% of total labor force with basic education),2014,7.380000114
Afghanistan,"Unemployment with basic education, female (% of female labor force with basic education)",2014,14.09000015
Afghanistan,"Unemployment with basic education, male (% of male labor force with basic education)",2014,6.139999866
Afghanistan,"Labor force participation rate for ages 15-24, total (%) (national estimate)",2014,48.45999908
Afghanistan,"Labor force participation rate for ages 15-24, female (%) (national estimate)",2014,29.19000053
Afghanistan,"Labor force participation rate for ages 15-24, male (%) (national estimate)",2014,67.29000092
Afghanistan,"Interest rate spread (lending rate minus deposit rate, %)",2014,0
Afghanistan,Average time to clear exports through customs (days),2014,8.1
Afghanistan,Logistics performance index: Overall (1=low to 5=high),2014,2.069573
Afghanistan,"Time to export, border compliance (hours)",2014,48
Afghanistan,"Time to export, documentary compliance (hours)",2014,242.6667
Afghanistan,"Time to import, border compliance (hours)",2014,96
Afghanistan,"Time to import, documentary compliance (hours)",2014,336
Albania,Cost of business start-up procedures (% of GNI per capita),2014,10.1
Albania,"Cost of business start-up procedures, female (% of GNI per capita)",2014,10.1
Albania,"Cost of business start-up procedures, male (% of GNI per capita)",2014,10.1
Albania,Time required to start a business (days),2014,5
Albania,"Time required to start a business, female (days)",2014,5
Albania,"Time required to start a business, male (days)",2014,5
Albania,Unemployment with advanced education (% of total labor force with advanced education),2014,17.84000015
Albania,"Unemployment with advanced education, female (% of female labor force with advanced education)",2014,18.60000038
Albania,"Unemployment with advanced education, male (% of male labor force with advanced education)",2014,16.98999977
Albania,Unemployment with intermediate education (% of total labor force with intermediate education),2014,21.78000069
Albania,"Unemployment with intermediate education, female (% of female labor force with intermediate education)",2014,20.98999977
Albania,"Unemployment with intermediate education, male (% of male labor force with intermediate education)",2014,22.19000053
Albania,Unemployment with basic education (% of total labor force with basic education),2014,15.06999969
Albania,"Unemployment with basic education, female (% of female labor force with basic education)",2014,10.75
Albania,"Unemployment with basic education, male (% of male labor force with basic education)",2014,18.59000015
Albania,"Labor force participation rate for ages 15-24, total (%) (national estimate)",2014,28.95999908
Albania,"Labor force participation rate for ages 15-24, female (%) (national estimate)",2014,20.32999992
Albania,"Labor force participation rate for ages 15-24, male (%) (national estimate)",2014,37.36999893
Albania,"Interest rate spread (lending rate minus deposit rate, %)",2014,6.058333333
Albania,Average time to clear exports through customs (days),2014,0
Albania,Logistics performance index: Overall (1=low to 5=high),2014,0
Albania,"Time to export, border compliance (hours)",2014,14
Albania,"Time to export, documentary compliance (hours)",2014,6
Albania,"Time to import, border compliance (hours)",2014,9
Albania,"Time to import, documentary compliance (hours)",2014,8
Algeria,Cost of business start-up procedures (% of GNI per capita),2014,11
Algeria,"Cost of business start-up procedures, female (% of GNI per capita)",2014,11
Algeria,"Cost of business start-up procedures, male (% of GNI per capita)",2014,11
Algeria,Time required to start a business (days),2014,20
Algeria,"Time required to start a business, female (days)",2014,20
Algeria,"Time required to start a business, male (days)",2014,20
Algeria,Unemployment with advanced education (% of total labor force with advanced education),2014,0
Algeria,"Unemployment with advanced education, female (% of female labor force with advanced education)",2014,0
Algeria,"Unemployment with advanced education, male (% of male labor force with advanced education)",2014,0
Algeria,Unemployment with intermediate education (% of total labor force with intermediate education),2014,0
Algeria,"Unemployment with intermediate education, female (% of female labor force with intermediate education)",2014,0
Algeria,"Unemployment with intermediate education, male (% of male labor force with intermediate education)",2014,0
Algeria,Unemployment with basic education (% of total labor force with basic education),2014,0
Algeria,"Unemployment with basic education, female (% of female labor force with basic education)",2014,0
Algeria,"Unemployment with basic education, male (% of male labor force with basic education)",2014,0
Algeria,"Labor force participation rate for ages 15-24, total (%) (national estimate)",2014,25.29000092
Algeria,"Labor force participation rate for ages 15-24, female (%) (national estimate)",2014,8.18999958
Algeria,"Labor force participation rate for ages 15-24, male (%) (national estimate)",2014,42.81999969
Algeria,"Interest rate spread (lending rate minus deposit rate, %)",2014,6.25
Algeria,Average time to clear exports through customs (days),2014,0
Algeria,Logistics performance index: Overall (1=low to 5=high),2014,2.649451
Algeria,"Time to export, border compliance (hours)",2014,80
Algeria,"Time to export, documentary compliance (hours)",2014,149.1429
Algeria,"Time to import, border compliance (hours)",2014,327.3896
Algeria,"Time to import, documentary compliance (hours)",2014,248.7273
Angola,Cost of business start-up procedures (% of GNI per capita),2014,118.8
Angola,"Cost of business start-up procedures, female (% of GNI per capita)",2014,118.8
Angola,"Cost of business start-up procedures, male (% of GNI per capita)",2014,118.8
Angola,Time required to start a business (days),2014,66
Angola,"Time required to start a business, female (days)",2014,66
Angola,"Time required to start a business, male (days)",2014,66
Angola,Unemployment with advanced education (% of total labor force with advanced education),2014,5.75
Angola,"Unemployment with advanced education, female (% of female labor force with advanced education)",2014,6.860000134
Angola,"Unemployment with advanced education, male (% of male labor force with advanced education)",2014,5.130000114
Angola,Unemployment with intermediate education (% of total labor force with intermediate education),2014,13.85000038
Angola,"Unemployment with intermediate education, female (% of female labor force with intermediate education)",2014,17.23999977
Angola,"Unemployment with intermediate education, male (% of male labor force with intermediate education)",2014,12.09000015
Angola,Unemployment with basic education (% of total labor force with basic education),2014,14.93000031
Angola,"Unemployment with basic education, female (% of female labor force with basic education)",2014,18.12000084
Angola,"Unemployment with basic education, male (% of male labor force with basic education)",2014,13.39999962
Angola,"Labor force participation rate for ages 15-24, total (%) (national estimate)",2014,26.10000038
Angola,"Labor force participation rate for ages 15-24, female (%) (national estimate)",2014,23.47999954
Angola,"Labor force participation rate for ages 15-24, male (%) (national estimate)",2014,28.95999908
Angola,"Interest rate spread (lending rate minus deposit rate, %)",2014,12.85530652
Angola,Average time to clear exports through customs (days),2014,0
Angola,Logistics performance index: Overall (1=low to 5=high),2014,2.54298
Angola,"Time to export, border compliance (hours)",2014,312
Angola,"Time to export, documentary compliance (hours)",2014,169
Angola,"Time to import, border compliance (hours)",2014,276
Angola,"Time to import, documentary compliance (hours)",2014,180
Antigua and Barbuda,Cost of business start-up procedures (% of GNI per capita),2014,9.7
Antigua and Barbuda,"Cost of business start-up procedures, female (% of GNI per capita)",2014,9.7
Antigua and Barbuda,"Cost of business start-up procedures, male (% of GNI per capita)",2014,9.7
Antigua and Barbuda,Time required to start a business (days),2014,22
Antigua and Barbuda,"Time required to start a business, female (days)",2014,22
Antigua and Barbuda,"Time required to start a business, male (days)",2014,22
Antigua and Barbuda,Unemployment with advanced education (% of total labor force with advanced education),2014,0
Antigua and Barbuda,"Unemployment with advanced education, female (% of female labor force with advanced education)",2014,0
Antigua and Barbuda,"Unemployment with advanced education, male (% of male labor force with advanced education)",2014,0
Antigua and Barbuda,Unemployment with intermediate education (% of total labor force with intermediate education),2014,0
Antigua and Barbuda,"Unemployment with intermediate education, female (% of female labor force with intermediate education)",2014,0
Antigua and Barbuda,"Unemployment with intermediate education, male (% of male labor force with intermediate education)",2014,0
Antigua and Barbuda,Unemployment with basic education (% of total labor force with basic education),2014,0
Antigua and Barbuda,"Unemployment with basic education, female (% of female labor force with basic education)",2014,0
Antigua and Barbuda,"Unemployment with basic education, male (% of male labor force with basic education)",2014,0
Antigua and Barbuda,"Labor force participation rate for ages 15-24, total (%) (national estimate)",2014,0
Antigua and Barbuda,"Labor force participation rate for ages 15-24, female (%) (national estimate)",2014,0
Antigua and Barbuda,"Labor force participation rate for ages 15-24, male (%) (national estimate)",2014,0
Antigua and Barbuda,"Interest rate spread (lending rate minus deposit rate, %)",2014,7.178443754
Antigua and Barbuda,Average time to clear exports through customs (days),2014,0
Antigua and Barbuda,Logistics performance index: Overall (1=low to 5=high),2014,0
Antigua and Barbuda,"Time to export, border compliance (hours)",2014,61.33333
Antigua and Barbuda,"Time to export, documentary compliance (hours)",2014,50.66667
Antigua and Barbuda,"Time to import, border compliance (hours)",2014,61.33333
Antigua and Barbuda,"Time to import, documentary compliance (hours)",2014,108.8889
Argentina,Cost of business start-up procedures (% of GNI per capita),2014,17.7
Argentina,"Cost of business start-up procedures, female (% of GNI per capita)",2014,17.7
Argentina,"Cost of business start-up procedures, male (% of GNI per capita)",2014,17.7
Argentina,Time required to start a business (days),2014,24.5
Argentina,"Time required to start a business, female (days)",2014,24.5
Argentina,"Time required to start a business, male (days)",2014,24.5
Argentina,Unemployment with advanced education (% of total labor force with advanced education),2014,3.25
Argentina,"Unemployment with advanced education, female (% of female labor force with advanced education)",2014,3.920000076
Argentina,"Unemployment with advanced education, male (% of male labor force with advanced education)",2014,2.319999933
Argentina,Unemployment with intermediate education (% of total labor force with intermediate education),2014,8.319999695
Argentina,"Unemployment with intermediate education, female (% of female labor force with intermediate education)",2014,10.57999992
Argentina,"Unemployment with intermediate education, male (% of male labor force with intermediate education)",2014,6.659999847
Argentina,Unemployment with basic education (% of total labor force with basic education),2014,8.56000042
Argentina,"Unemployment with basic education, female (% of female labor force with basic education)",2014,10.15999985
Argentina,"Unemployment with basic education, male (% of male labor force with basic education)",2014,7.75
Argentina,"Labor force participation rate for ages 15-24, total (%) (national estimate)",2014,38.59999847
Argentina,"Labor force participation rate for ages 15-24, female (%) (national estimate)",2014,30.12000084
Argentina,"Labor force participation rate for ages 15-24, male (%) (national estimate)",2014,46.56000137
Argentina,"Interest rate spread (lending rate minus deposit rate, %)",2014,3.591482982
Argentina,Average time to clear exports through customs (days),2014,0
Argentina,Logistics performance index: Overall (1=low to 5=high),2014,2.986475
Argentina,"Time to export, border compliance (hours)",2014,21
Argentina,"Time to export, documentary compliance (hours)",2014,27
Argentina,"Time to import, border compliance (hours)",2014,60
Argentina,"Time to import, documentary compliance (hours)",2014,336
Armenia,Cost of business start-up procedures (% of GNI per capita),2014,1
Armenia,"Cost of business start-up procedures, female (% of GNI per capita)",2014,1
Armenia,"Cost of business start-up procedures, male (% of GNI per capita)",2014,1
Armenia,Time required to start a business (days),2014,5
Armenia,"Time required to start a business, female (days)",2014,5
Armenia,"Time required to start a business, male (days)",2014,5
Armenia,Unemployment with advanced education (% of total labor force with advanced education),2014,17.46999931
Armenia,"Unemployment with advanced education, female (% of female labor force with advanced education)",2014,19.84000015
Armenia,"Unemployment with advanced education, male (% of male labor force with advanced education)",2014,14.86999989
Armenia,Unemployment with intermediate education (% of total labor force with intermediate education),2014,18.01000023
Armenia,"Unemployment with intermediate education, female (% of female labor force with intermediate education)",2014,19.62000084
Armenia,"Unemployment with intermediate education, male (% of male labor force with intermediate education)",2014,16.51000023
Armenia,Unemployment with basic education (% of total labor force with basic education),2014,9.640000343
Armenia,"Unemployment with basic education, female (% of female labor force with basic education)",2014,10.27999973
Armenia,"Unemployment with basic education, male (% of male labor force with basic education)",2014,9.229999542
Armenia,"Labor force participation rate for ages 15-24, total (%) (national estimate)",2014,37.56999969
Armenia,"Labor force participation rate for ages 15-24, female (%) (national estimate)",2014,32.83000183
Armenia,"Labor force participation rate for ages 15-24, male (%) (national estimate)",2014,42.81999969
Armenia,"Interest rate spread (lending rate minus deposit rate, %)",2014,5.982880233
Armenia,Average time to clear exports through customs (days),2014,0
Armenia,Logistics performance index: Overall (1=low to 5=high),2014,2.672723
Armenia,"Time to export, border compliance (hours)",2014,50.53846
Armenia,"Time to export, documentary compliance (hours)",2014,2
Armenia,"Time to import, border compliance (hours)",2014,50.53846
Armenia,"Time to import, documentary compliance (hours)",2014,1.615385
Australia,Cost of business start-up procedures (% of GNI per capita),2014,0.7
Australia,"Cost of business start-up procedures, female (% of GNI per capita)",2014,0.7
Australia,"Cost of business start-up procedures, male (% of GNI per capita)",2014,0.7
Australia,Time required to start a business (days),2014,2.5
Australia,"Time required to start a business, female (days)",2014,2.5
Australia,"Time required to start a business, male (days)",2014,2.5
Australia,Unemployment with advanced education (% of total labor force with advanced education),2014,3.730000019
Australia,"Unemployment with advanced education, female (% of female labor force with advanced education)",2014,3.730000019
Australia,"Unemployment with advanced education, male (% of male labor force with advanced education)",2014,3.920000076
Australia,Unemployment with intermediate education (% of total labor force with intermediate education),2014,5.96999979
Australia,"Unemployment with intermediate education, female (% of female labor force with intermediate education)",2014,7.110000134
Australia,"Unemployment with intermediate education, male (% of male labor force with intermediate education)",2014,5.170000076
Australia,Unemployment with basic education (% of total labor force with basic education),2014,9.819999695
Australia,"Unemployment with basic education, female (% of female labor force with basic education)",2014,10
Australia,"Unemployment with basic education, male (% of male labor force with basic education)",2014,9.710000038
Australia,"Labor force participation rate for ages 15-24, total (%) (national estimate)",2014,66.55999756
Australia,"Labor force participation rate for ages 15-24, female (%) (national estimate)",2014,66.23999786
Australia,"Labor force participation rate for ages 15-24, male (%) (national estimate)",2014,66.87999725
Australia,"Interest rate spread (lending rate minus deposit rate, %)",2014,3.045833333
Australia,Average time to clear exports through customs (days),2014,0
Australia,Logistics performance index: Overall (1=low to 5=high),2014,3.810776
Australia,"Time to export, border compliance (hours)",2014,35.5
Australia,"Time to export, documentary compliance (hours)",2014,7
Australia,"Time to import, border compliance (hours)",2014,37
Australia,"Time to import, documentary compliance (hours)",2014,2.5
Austria,Cost of business start-up procedures (% of GNI per capita),2014,5.5
Austria,"Cost of business start-up procedures, female (% of GNI per capita)",2014,5.5
Austria,"Cost of business start-up procedures, male (% of GNI per capita)",2014,5.5
Austria,Time required to start a business (days),2014,22
Austria,"Time required to start a business, female (days)",2014,22
Austria,"Time required to start a business, male (days)",2014,22
Austria,Unemployment with advanced education (% of total labor force with advanced education),2014,4.010000229
Austria,"Unemployment with advanced education, female (% of female labor force with advanced education)",2014,4.21999979
Austria,"Unemployment with advanced education, male (% of male labor force with advanced education)",2014,3.829999924
Austria,Unemployment with intermediate education (% of total labor force with intermediate education),2014,5.070000172
Austria,"Unemployment with intermediate education, female (% of female labor force with intermediate education)",2014,4.699999809
Austria,"Unemployment with intermediate education, male (% of male labor force with intermediate education)",2014,5.380000114
