,Country Name,Country Code,Series Name,2014,2015,2016,2017,2018,2019
0,Afghanistan,AFG,Cost of business start-up procedures (% of GNI per capita),15.1,19,19.9,82.3,6.4,6.8
1,Afghanistan,AFG,"Cost of business start-up procedures, female (% of GNI per capita)",15.1,19,19.9,82.3,6.4,6.8
2,Afghanistan,AFG,"Cost of business start-up procedures, male (% of GNI per capita)",15.1,19,19.9,82.3,6.4,6.8
3,Afghanistan,AFG,Time required to start a business (days),8.5,8.5,8.5,8.5,8.5,8.5
4,Afghanistan,AFG,"Time required to start a business, female (days)",9,9,9,9,9,9
5,Afghanistan,AFG,"Time required to start a business, male (days)",8,8,8,8,8,8
6,Afghanistan,AFG,Unemployment with advanced education (% of total labor force with advanced education),7.860000134,..,..,15.46000004,..,..
7,Afghanistan,AFG,"Unemployment with advanced education, female (% of female labor force with advanced education)",9.960000038,..,..,30.48999977,..,..
8,Afghanistan,AFG,"Unemployment with advanced education, male (% of male labor force with advanced education)",7.579999924,..,..,11.93000031,..,..
9,Afghanistan,AFG,Unemployment with basic education (% of total labor force with basic education),7.380000114,..,..,12.27999973,..,..
10,Afghanistan,AFG,"Unemployment with basic education, female (% of female labor force with basic education)",14.09000015,..,..,24.02000046,..,..
11,Afghanistan,AFG,"Unemployment with basic education, male (% of male labor force with basic education)",6.139999866,..,..,10.85999966,..,..
12,Afghanistan,AFG,Unemployment with intermediate education (% of total labor force with intermediate education),10.61999989,..,..,16.14999962,..,..
13,Afghanistan,AFG,"Unemployment with intermediate education, female (% of female labor force with intermediate education)",24.36000061,..,..,41.25999832,..,..
14,Afghanistan,AFG,"Unemployment with intermediate education, male (% of male labor force with intermediate education)",8.590000153,..,..,13.38000011,..,..
15,Afghanistan,AFG,"Interest rate spread (lending rate minus deposit rate, %)",..,..,..,..,..,..
16,Afghanistan,AFG,Average time to clear exports through customs (days),8.1,..,..,..,..,..
17,Afghanistan,AFG,Logistics performance index: Overall (1=low to 5=high),2.069573,..,2.141282,..,1.95,..
18,Afghanistan,AFG,"Time to export, border compliance (hours)",48,48,48,48,48,48
19,Afghanistan,AFG,"Time to export, documentary compliance (hours)",242.6667,242.6667,228,228,228,228
20,Afghanistan,AFG,"Time to import, border compliance (hours)",96,96,96,96,96,96
21,Afghanistan,AFG,"Time to import, documentary compliance (hours)",336,336,324,324,324,324
22,Albania,ALB,Cost of business start-up procedures (% of GNI per capita),10.1,10.3,12.5,12,11.3,10.8
23,Albania,ALB,"Cost of business start-up procedures, female (% of GNI per capita)",10.1,10.3,12.5,12,11.3,10.8
24,Albania,ALB,"Cost of business start-up procedures, male (% of GNI per capita)",10.1,10.3,12.5,12,11.3,10.8
25,Albania,ALB,Time required to start a business (days),5,5,5,5,4.5,4.5
26,Albania,ALB,"Time required to start a business, female (days)",5,5,5,5,4.5,4.5
27,Albania,ALB,"Time required to start a business, male (days)",5,5,5,5,4.5,4.5
28,Albania,ALB,Unemployment with advanced education (% of total labor force with advanced education),17.84000015,19.28000069,17.04999924,13.68999958,15.09000015,14.85999966
29,Albania,ALB,"Unemployment with advanced education, female (% of female labor force with advanced education)",18.60000038,21.61000061,17.70999908,14.03999996,15.14000034,15.82999992
30,Albania,ALB,"Unemployment with advanced education, male (% of male labor force with advanced education)",16.98999977,16.65999985,16.29000092,13.31000042,15.06000042,14.30000019
31,Albania,ALB,Unemployment with basic education (% of total labor force with basic education),15.06999969,13.5,12.92000008,12.23999977,6.360000134,5.820000172
32,Albania,ALB,"Unemployment with basic education, female (% of female labor force with basic education)",10.75,11.11999989,10.51000023,9.770000458,7.329999924,8.930000305
33,Albania,ALB,"Unemployment with basic education, male (% of male labor force with basic education)",18.59000015,15.48999977,14.96000004,14.31000042,5.480000019,3.140000105
34,Albania,ALB,Unemployment with intermediate education (% of total labor force with intermediate education),21.78000069,20.5,17.64999962,15.28999996,10.31000042,8.930000305
35,Albania,ALB,"Unemployment with intermediate education, female (% of female labor force with intermediate education)",20.98999977,23.01000023,18.37000084,15.68999958,8.960000038,7.590000153
36,Albania,ALB,"Unemployment with intermediate education, male (% of male labor force with intermediate education)",22.19000053,19.18000031,17.27000046,15.09000015,11.47000027,10.10999966
37,Albania,ALB,"Interest rate spread (lending rate minus deposit rate, %)",6.058333333,6.484166667,5.903333333,5.453333333,5.180833333,5.783333333
38,Albania,ALB,Average time to clear exports through customs (days),..,..,..,..,..,1.1
39,Albania,ALB,Logistics performance index: Overall (1=low to 5=high),..,..,2.412498,..,2.66,..
40,Albania,ALB,"Time to export, border compliance (hours)",14,8,9,9,9,9
41,Albania,ALB,"Time to export, documentary compliance (hours)",6,6,6,6,6,6
42,Albania,ALB,"Time to import, border compliance (hours)",9,9,10,10,10,10
43,Albania,ALB,"Time to import, documentary compliance (hours)",8,8,8,8,8,8
44,Algeria,DZA,Cost of business start-up procedures (% of GNI per capita),11,10.9,11.1,12.5,11.8,11.3
45,Algeria,DZA,"Cost of business start-up procedures, female (% of GNI per capita)",11,10.9,11.1,12.5,11.8,11.3
46,Algeria,DZA,"Cost of business start-up procedures, male (% of GNI per capita)",11,10.9,11.1,12.5,11.8,11.3
47,Algeria,DZA,Time required to start a business (days),20,18,18,18,18,18
48,Algeria,DZA,"Time required to start a business, female (days)",20,18,18,18,18,18
49,Algeria,DZA,"Time required to start a business, male (days)",20,18,18,18,18,18
50,Algeria,DZA,Unemployment with advanced education (% of total labor force with advanced education),..,..,..,17.75,..,..
51,Algeria,DZA,"Unemployment with advanced education, female (% of female labor force with advanced education)",..,..,..,25.36000061,..,..
52,Algeria,DZA,"Unemployment with advanced education, male (% of male labor force with advanced education)",..,..,..,10.56000042,..,..
53,Algeria,DZA,Unemployment with basic education (% of total labor force with basic education),..,..,..,10.93000031,..,..
54,Algeria,DZA,"Unemployment with basic education, female (% of female labor force with basic education)",..,..,..,17.86000061,..,..
55,Algeria,DZA,"Unemployment with basic education, male (% of male labor force with basic education)",..,..,..,10.18999958,..,..
56,Algeria,DZA,Unemployment with intermediate education (% of total labor force with intermediate education),..,..,..,11.26000023,..,..
57,Algeria,DZA,"Unemployment with intermediate education, female (% of female labor force with intermediate education)",..,..,..,19.61000061,..,..
58,Algeria,DZA,"Unemployment with intermediate education, male (% of male labor force with intermediate education)",..,..,..,9.079999924,..,..
