Country Name,Country Code,Series Name,Series Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Afghanistan,AFG,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,15.1,19,19.9,82.3,6.4,6.8
Afghanistan,AFG,"Cost of business start-up procedures, female (% of GNI per capita)",IC.REG.COST.PC.FE.ZS,15.1,19,19.9,82.3,6.4,6.8
Afghanistan,AFG,"Cost of business start-up procedures, male (% of GNI per capita)",IC.REG.COST.PC.MA.ZS,15.1,19,19.9,82.3,6.4,6.8
Afghanistan,AFG,Time required to start a business (days),IC.REG.DURS,8.5,8.5,8.5,8.5,8.5,8.5
Afghanistan,AFG,"Time required to start a business, female (days)",IC.REG.DURS.FE,9,9,9,9,9,9
Afghanistan,AFG,"Time required to start a business, male (days)",IC.REG.DURS.MA,8,8,8,8,8,8
Afghanistan,AFG,Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,7.860000134,..,..,15.46000004,..,..
Afghanistan,AFG,"Unemployment with advanced education, female (% of female labor force with advanced education)",SL.UEM.ADVN.FE.ZS,9.960000038,..,..,30.48999977,..,..
Afghanistan,AFG,"Unemployment with advanced education, male (% of male labor force with advanced education)",SL.UEM.ADVN.MA.ZS,7.579999924,..,..,11.93000031,..,..
Afghanistan,AFG,Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,7.380000114,..,..,12.27999973,..,..
Afghanistan,AFG,"Unemployment with basic education, female (% of female labor force with basic education)",SL.UEM.BASC.FE.ZS,14.09000015,..,..,24.02000046,..,..
Afghanistan,AFG,"Unemployment with basic education, male (% of male labor force with basic education)",SL.UEM.BASC.MA.ZS,6.139999866,..,..,10.85999966,..,..
Afghanistan,AFG,Unemployment with intermediate education (% of total labor force with intermediate education),SL.UEM.INTM.ZS,10.61999989,..,..,16.14999962,..,..
Afghanistan,AFG,"Unemployment with intermediate education, female (% of female labor force with intermediate education)",SL.UEM.INTM.FE.ZS,24.36000061,..,..,41.25999832,..,..
Afghanistan,AFG,"Unemployment with intermediate education, male (% of male labor force with intermediate education)",SL.UEM.INTM.MA.ZS,8.590000153,..,..,13.38000011,..,..
Afghanistan,AFG,"Interest rate spread (lending rate minus deposit rate, %)",FR.INR.LNDP,..,..,..,..,..,..
Afghanistan,AFG,Average time to clear exports through customs (days),IC.CUS.DURS.EX,8.1,..,..,..,..,..
Afghanistan,AFG,Logistics performance index: Overall (1=low to 5=high),LP.LPI.OVRL.XQ,2.069573,..,2.141282,..,1.95,..
Afghanistan,AFG,"Time to export, border compliance (hours)",IC.EXP.TMBC,48,48,48,48,48,48
Afghanistan,AFG,"Time to export, documentary compliance (hours)",IC.EXP.TMDC,242.6667,242.6667,228,228,228,228
Afghanistan,AFG,"Time to import, border compliance (hours)",IC.IMP.TMBC,96,96,96,96,96,96
Afghanistan,AFG,"Time to import, documentary compliance (hours)",IC.IMP.TMDC,336,336,324,324,324,324
Albania,ALB,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,10.1,10.3,12.5,12,11.3,10.8
Albania,ALB,"Cost of business start-up procedures, female (% of GNI per capita)",IC.REG.COST.PC.FE.ZS,10.1,10.3,12.5,12,11.3,10.8
Albania,ALB,"Cost of business start-up procedures, male (% of GNI per capita)",IC.REG.COST.PC.MA.ZS,10.1,10.3,12.5,12,11.3,10.8
Albania,ALB,Time required to start a business (days),IC.REG.DURS,5,5,5,5,4.5,4.5
Albania,ALB,"Time required to start a business, female (days)",IC.REG.DURS.FE,5,5,5,5,4.5,4.5
Albania,ALB,"Time required to start a business, male (days)",IC.REG.DURS.MA,5,5,5,5,4.5,4.5
Albania,ALB,Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,17.84000015,19.28000069,17.04999924,13.68999958,15.09000015,14.85999966
Albania,ALB,"Unemployment with advanced education, female (% of female labor force with advanced education)",SL.UEM.ADVN.FE.ZS,18.60000038,21.61000061,17.70999908,14.03999996,15.14000034,15.82999992
Albania,ALB,"Unemployment with advanced education, male (% of male labor force with advanced education)",SL.UEM.ADVN.MA.ZS,16.98999977,16.65999985,16.29000092,13.31000042,15.06000042,14.30000019
Albania,ALB,Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,15.06999969,13.5,12.92000008,12.23999977,6.360000134,5.820000172
Albania,ALB,"Unemployment with basic education, female (% of female labor force with basic education)",SL.UEM.BASC.FE.ZS,10.75,11.11999989,10.51000023,9.770000458,7.329999924,8.930000305
Albania,ALB,"Unemployment with basic education, male (% of male labor force with basic education)",SL.UEM.BASC.MA.ZS,18.59000015,15.48999977,14.96000004,14.31000042,5.480000019,3.140000105
Albania,ALB,Unemployment with intermediate education (% of total labor force with intermediate education),SL.UEM.INTM.ZS,21.78000069,20.5,17.64999962,15.28999996,10.31000042,8.930000305
Albania,ALB,"Unemployment with intermediate education, female (% of female labor force with intermediate education)",SL.UEM.INTM.FE.ZS,20.98999977,23.01000023,18.37000084,15.68999958,8.960000038,7.590000153
Albania,ALB,"Unemployment with intermediate education, male (% of male labor force with intermediate education)",SL.UEM.INTM.MA.ZS,22.19000053,19.18000031,17.27000046,15.09000015,11.47000027,10.10999966
Albania,ALB,"Interest rate spread (lending rate minus deposit rate, %)",FR.INR.LNDP,6.058333333,6.484166667,5.903333333,5.453333333,5.180833333,5.783333333
Albania,ALB,Average time to clear exports through customs (days),IC.CUS.DURS.EX,..,..,..,..,..,1.1
Albania,ALB,Logistics performance index: Overall (1=low to 5=high),LP.LPI.OVRL.XQ,..,..,2.412498,..,2.66,..
Albania,ALB,"Time to export, border compliance (hours)",IC.EXP.TMBC,14,8,9,9,9,9
Albania,ALB,"Time to export, documentary compliance (hours)",IC.EXP.TMDC,6,6,6,6,6,6
Albania,ALB,"Time to import, border compliance (hours)",IC.IMP.TMBC,9,9,10,10,10,10
Albania,ALB,"Time to import, documentary compliance (hours)",IC.IMP.TMDC,8,8,8,8,8,8
Algeria,DZA,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,11,10.9,11.1,12.5,11.8,11.3
Algeria,DZA,"Cost of business start-up procedures, female (% of GNI per capita)",IC.REG.COST.PC.FE.ZS,11,10.9,11.1,12.5,11.8,11.3
Algeria,DZA,"Cost of business start-up procedures, male (% of GNI per capita)",IC.REG.COST.PC.MA.ZS,11,10.9,11.1,12.5,11.8,11.3
Algeria,DZA,Time required to start a business (days),IC.REG.DURS,20,18,18,18,18,18
Algeria,DZA,"Time required to start a business, female (days)",IC.REG.DURS.FE,20,18,18,18,18,18
Algeria,DZA,"Time required to start a business, male (days)",IC.REG.DURS.MA,20,18,18,18,18,18
Algeria,DZA,Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,..,..,..,17.75,..,..
Algeria,DZA,"Unemployment with advanced education, female (% of female labor force with advanced education)",SL.UEM.ADVN.FE.ZS,..,..,..,25.36000061,..,..
Algeria,DZA,"Unemployment with advanced education, male (% of male labor force with advanced education)",SL.UEM.ADVN.MA.ZS,..,..,..,10.56000042,..,..
Algeria,DZA,Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,..,..,..,10.93000031,..,..
Algeria,DZA,"Unemployment with basic education, female (% of female labor force with basic education)",SL.UEM.BASC.FE.ZS,..,..,..,17.86000061,..,..
Algeria,DZA,"Unemployment with basic education, male (% of male labor force with basic education)",SL.UEM.BASC.MA.ZS,..,..,..,10.18999958,..,..
Algeria,DZA,Unemployment with intermediate education (% of total labor force with intermediate education),SL.UEM.INTM.ZS,..,..,..,11.26000023,..,..
Algeria,DZA,"Unemployment with intermediate education, female (% of female labor force with intermediate education)",SL.UEM.INTM.FE.ZS,..,..,..,19.61000061,..,..
Algeria,DZA,"Unemployment with intermediate education, male (% of male labor force with intermediate education)",SL.UEM.INTM.MA.ZS,..,..,..,9.079999924,..,..
