,Country Name,Country Code,Series Name,Date,Value
0,Afghanistan,AFG,Cost of business start-up procedures (% of GNI per capita),2014,15.1
1,Afghanistan,AFG,"Cost of business start-up procedures, female (% of GNI per capita)",2014,15.1
2,Afghanistan,AFG,"Cost of business start-up procedures, male (% of GNI per capita)",2014,15.1
3,Afghanistan,AFG,Time required to start a business (days),2014,8.5
4,Afghanistan,AFG,"Time required to start a business, female (days)",2014,9
5,Afghanistan,AFG,"Time required to start a business, male (days)",2014,8
6,Afghanistan,AFG,Unemployment with advanced education (% of total labor force with advanced education),2014,7.860000134
7,Afghanistan,AFG,"Unemployment with advanced education, female (% of female labor force with advanced education)",2014,9.960000038
8,Afghanistan,AFG,"Unemployment with advanced education, male (% of male labor force with advanced education)",2014,7.579999924
9,Afghanistan,AFG,Unemployment with basic education (% of total labor force with basic education),2014,7.380000114
10,Afghanistan,AFG,"Unemployment with basic education, female (% of female labor force with basic education)",2014,14.09000015
11,Afghanistan,AFG,"Unemployment with basic education, male (% of male labor force with basic education)",2014,6.139999866
12,Afghanistan,AFG,Unemployment with intermediate education (% of total labor force with intermediate education),2014,10.61999989
13,Afghanistan,AFG,"Unemployment with intermediate education, female (% of female labor force with intermediate education)",2014,24.36000061
14,Afghanistan,AFG,"Unemployment with intermediate education, male (% of male labor force with intermediate education)",2014,8.590000153
15,Afghanistan,AFG,"Interest rate spread (lending rate minus deposit rate, %)",2014,..
16,Afghanistan,AFG,Average time to clear exports through customs (days),2014,8.1
17,Afghanistan,AFG,Logistics performance index: Overall (1=low to 5=high),2014,2.069573
18,Afghanistan,AFG,"Time to export, border compliance (hours)",2014,48
19,Afghanistan,AFG,"Time to export, documentary compliance (hours)",2014,242.6667
20,Afghanistan,AFG,"Time to import, border compliance (hours)",2014,96
21,Afghanistan,AFG,"Time to import, documentary compliance (hours)",2014,336
22,Albania,ALB,Cost of business start-up procedures (% of GNI per capita),2014,10.1
23,Albania,ALB,"Cost of business start-up procedures, female (% of GNI per capita)",2014,10.1
24,Albania,ALB,"Cost of business start-up procedures, male (% of GNI per capita)",2014,10.1
25,Albania,ALB,Time required to start a business (days),2014,5
26,Albania,ALB,"Time required to start a business, female (days)",2014,5
27,Albania,ALB,"Time required to start a business, male (days)",2014,5
28,Albania,ALB,Unemployment with advanced education (% of total labor force with advanced education),2014,17.84000015
29,Albania,ALB,"Unemployment with advanced education, female (% of female labor force with advanced education)",2014,18.60000038
30,Albania,ALB,"Unemployment with advanced education, male (% of male labor force with advanced education)",2014,16.98999977
31,Albania,ALB,Unemployment with basic education (% of total labor force with basic education),2014,15.06999969
32,Albania,ALB,"Unemployment with basic education, female (% of female labor force with basic education)",2014,10.75
33,Albania,ALB,"Unemployment with basic education, male (% of male labor force with basic education)",2014,18.59000015
34,Albania,ALB,Unemployment with intermediate education (% of total labor force with intermediate education),2014,21.78000069
35,Albania,ALB,"Unemployment with intermediate education, female (% of female labor force with intermediate education)",2014,20.98999977
36,Albania,ALB,"Unemployment with intermediate education, male (% of male labor force with intermediate education)",2014,22.19000053
37,Albania,ALB,"Interest rate spread (lending rate minus deposit rate, %)",2014,6.058333333
38,Albania,ALB,Average time to clear exports through customs (days),2014,..
39,Albania,ALB,Logistics performance index: Overall (1=low to 5=high),2014,..
40,Albania,ALB,"Time to export, border compliance (hours)",2014,14
41,Albania,ALB,"Time to export, documentary compliance (hours)",2014,6
42,Albania,ALB,"Time to import, border compliance (hours)",2014,9
43,Albania,ALB,"Time to import, documentary compliance (hours)",2014,8
44,Algeria,DZA,Cost of business start-up procedures (% of GNI per capita),2014,11
45,Algeria,DZA,"Cost of business start-up procedures, female (% of GNI per capita)",2014,11
46,Algeria,DZA,"Cost of business start-up procedures, male (% of GNI per capita)",2014,11
47,Algeria,DZA,Time required to start a business (days),2014,20
48,Algeria,DZA,"Time required to start a business, female (days)",2014,20
49,Algeria,DZA,"Time required to start a business, male (days)",2014,20
50,Algeria,DZA,Unemployment with advanced education (% of total labor force with advanced education),2014,..
51,Algeria,DZA,"Unemployment with advanced education, female (% of female labor force with advanced education)",2014,..
52,Algeria,DZA,"Unemployment with advanced education, male (% of male labor force with advanced education)",2014,..
53,Algeria,DZA,Unemployment with basic education (% of total labor force with basic education),2014,..
54,Algeria,DZA,"Unemployment with basic education, female (% of female labor force with basic education)",2014,..
55,Algeria,DZA,"Unemployment with basic education, male (% of male labor force with basic education)",2014,..
56,Algeria,DZA,Unemployment with intermediate education (% of total labor force with intermediate education),2014,..
57,Algeria,DZA,"Unemployment with intermediate education, female (% of female labor force with intermediate education)",2014,..
58,Algeria,DZA,"Unemployment with intermediate education, male (% of male labor force with intermediate education)",2014,..
59,Algeria,DZA,"Interest rate spread (lending rate minus deposit rate, %)",2014,6.25
60,Algeria,DZA,Average time to clear exports through customs (days),2014,..
61,Algeria,DZA,Logistics performance index: Overall (1=low to 5=high),2014,2.649451
62,Algeria,DZA,"Time to export, border compliance (hours)",2014,80
63,Algeria,DZA,"Time to export, documentary compliance (hours)",2014,149.1429
64,Algeria,DZA,"Time to import, border compliance (hours)",2014,327.3896
65,Algeria,DZA,"Time to import, documentary compliance (hours)",2014,248.7273
66,Angola,AGO,Cost of business start-up procedures (% of GNI per capita),2014,118.8
67,Angola,AGO,"Cost of business start-up procedures, female (% of GNI per capita)",2014,118.8
