Country Name,Country Code,Series Name,Series Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Afghanistan,AFG,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,15.1,19,19.9,82.3,6.4,6.8
Afghanistan,AFG,"Cost of business start-up procedures, female (% of GNI per capita)",IC.REG.COST.PC.FE.ZS,15.1,19,19.9,82.3,6.4,6.8
Afghanistan,AFG,"Cost of business start-up procedures, male (% of GNI per capita)",IC.REG.COST.PC.MA.ZS,15.1,19,19.9,82.3,6.4,6.8
Afghanistan,AFG,Time required to start a business (days),IC.REG.DURS,8.5,8.5,8.5,8.5,8.5,8.5
Afghanistan,AFG,"Time required to start a business, female (days)",IC.REG.DURS.FE,9,9,9,9,9,9
Afghanistan,AFG,"Time required to start a business, male (days)",IC.REG.DURS.MA,8,8,8,8,8,8
Afghanistan,AFG,Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,7.8600001335144,..,..,15.460000038147,..,..
Afghanistan,AFG,"Unemployment with advanced education, female (% of female labor force with advanced education)",SL.UEM.ADVN.FE.ZS,9.96000003814697,..,..,30.4899997711182,..,..
Afghanistan,AFG,"Unemployment with advanced education, male (% of male labor force with advanced education)",SL.UEM.ADVN.MA.ZS,7.57999992370605,..,..,11.9300003051758,..,..
Afghanistan,AFG,Unemployment with intermediate education (% of total labor force with intermediate education),SL.UEM.INTM.ZS,10.6199998855591,..,..,16.1499996185303,..,..
Afghanistan,AFG,"Unemployment with intermediate education, female (% of female labor force with intermediate education)",SL.UEM.INTM.FE.ZS,24.3600006103516,..,..,41.2599983215332,..,..
Afghanistan,AFG,"Unemployment with intermediate education, male (% of male labor force with intermediate education)",SL.UEM.INTM.MA.ZS,8.59000015258789,..,..,13.3800001144409,..,..
Afghanistan,AFG,Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,7.38000011444092,..,..,12.2799997329712,..,..
Afghanistan,AFG,"Unemployment with basic education, female (% of female labor force with basic education)",SL.UEM.BASC.FE.ZS,14.0900001525879,..,..,24.0200004577637,..,..
Afghanistan,AFG,"Unemployment with basic education, male (% of male labor force with basic education)",SL.UEM.BASC.MA.ZS,6.1399998664856,..,..,10.8599996566772,..,..
Afghanistan,AFG,"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,48.4599990844727,..,..,39.2599983215332,..,..
Afghanistan,AFG,"Labor force participation rate for ages 15-24, female (%) (national estimate)",SL.TLF.ACTI.1524.FE.NE.ZS,29.1900005340576,..,..,19.8500003814697,..,..
Afghanistan,AFG,"Labor force participation rate for ages 15-24, male (%) (national estimate)",SL.TLF.ACTI.1524.MA.NE.ZS,67.2900009155273,..,..,58.5699996948242,..,..
Afghanistan,AFG,"Interest rate spread (lending rate minus deposit rate, %)",FR.INR.LNDP,..,..,..,..,..,..
Afghanistan,AFG,Average time to clear exports through customs (days),IC.CUS.DURS.EX,8.1,..,..,..,..,..
Afghanistan,AFG,Logistics performance index: Overall (1=low to 5=high),LP.LPI.OVRL.XQ,2.069573,..,2.141282,..,1.95,..
Afghanistan,AFG,"Time to export, border compliance (hours)",IC.EXP.TMBC,48,48,48,48,48,48
Afghanistan,AFG,"Time to export, documentary compliance (hours)",IC.EXP.TMDC,242.6667,242.6667,228,228,228,228
Afghanistan,AFG,"Time to import, border compliance (hours)",IC.IMP.TMBC,96,96,96,96,96,96
Afghanistan,AFG,"Time to import, documentary compliance (hours)",IC.IMP.TMDC,336,336,324,324,324,324
Albania,ALB,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,10.1,10.3,12.5,12,11.3,10.8
Albania,ALB,"Cost of business start-up procedures, female (% of GNI per capita)",IC.REG.COST.PC.FE.ZS,10.1,10.3,12.5,12,11.3,10.8
Albania,ALB,"Cost of business start-up procedures, male (% of GNI per capita)",IC.REG.COST.PC.MA.ZS,10.1,10.3,12.5,12,11.3,10.8
Albania,ALB,Time required to start a business (days),IC.REG.DURS,5,5,5,5,4.5,4.5
Albania,ALB,"Time required to start a business, female (days)",IC.REG.DURS.FE,5,5,5,5,4.5,4.5
Albania,ALB,"Time required to start a business, male (days)",IC.REG.DURS.MA,5,5,5,5,4.5,4.5
Albania,ALB,Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,17.8400001525879,19.2800006866455,17.0499992370605,13.6899995803833,15.0900001525879,14.8599996566772
Albania,ALB,"Unemployment with advanced education, female (% of female labor force with advanced education)",SL.UEM.ADVN.FE.ZS,18.6000003814697,21.6100006103516,17.7099990844727,14.039999961853,15.1400003433228,15.8299999237061
Albania,ALB,"Unemployment with advanced education, male (% of male labor force with advanced education)",SL.UEM.ADVN.MA.ZS,16.9899997711182,16.6599998474121,16.2900009155273,13.3100004196167,15.0600004196167,14.3000001907349
Albania,ALB,Unemployment with intermediate education (% of total labor force with intermediate education),SL.UEM.INTM.ZS,21.7800006866455,20.5,17.6499996185303,15.289999961853,10.3100004196167,8.93000030517578
Albania,ALB,"Unemployment with intermediate education, female (% of female labor force with intermediate education)",SL.UEM.INTM.FE.ZS,20.9899997711182,23.0100002288818,18.3700008392334,15.6899995803833,8.96000003814697,7.59000015258789
Albania,ALB,"Unemployment with intermediate education, male (% of male labor force with intermediate education)",SL.UEM.INTM.MA.ZS,22.1900005340576,19.1800003051758,17.2700004577637,15.0900001525879,11.4700002670288,10.1099996566772
Albania,ALB,Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,15.0699996948242,13.5,12.9200000762939,12.2399997711182,6.3600001335144,5.82000017166138
Albania,ALB,"Unemployment with basic education, female (% of female labor force with basic education)",SL.UEM.BASC.FE.ZS,10.75,11.1199998855591,10.5100002288818,9.77000045776367,7.32999992370605,8.93000030517578
Albania,ALB,"Unemployment with basic education, male (% of male labor force with basic education)",SL.UEM.BASC.MA.ZS,18.5900001525879,15.4899997711182,14.960000038147,14.3100004196167,5.48000001907349,3.14000010490417
Albania,ALB,"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,28.9599990844727,31.2999992370605,31.6499996185303,31.6100006103516,35.689998626709,36.5900001525879
Albania,ALB,"Labor force participation rate for ages 15-24, female (%) (national estimate)",SL.TLF.ACTI.1524.FE.NE.ZS,20.3299999237061,22.6399993896484,25.7900009155273,24.5200004577637,27.4899997711182,30
Albania,ALB,"Labor force participation rate for ages 15-24, male (%) (national estimate)",SL.TLF.ACTI.1524.MA.NE.ZS,37.3699989318848,39.1500015258789,36.7299995422363,37.4900016784668,43.3400001525879,43.2099990844727
Albania,ALB,"Interest rate spread (lending rate minus deposit rate, %)",FR.INR.LNDP,6.05833333333333,6.48416666666667,5.90333333333334,5.45333333333333,5.18083333333333,5.78333333333333
Albania,ALB,Average time to clear exports through customs (days),IC.CUS.DURS.EX,..,..,..,..,..,1.1
Albania,ALB,Logistics performance index: Overall (1=low to 5=high),LP.LPI.OVRL.XQ,..,..,2.412498,..,2.66,..
Albania,ALB,"Time to export, border compliance (hours)",IC.EXP.TMBC,14,8,9,9,9,9
Albania,ALB,"Time to export, documentary compliance (hours)",IC.EXP.TMDC,6,6,6,6,6,6
Albania,ALB,"Time to import, border compliance (hours)",IC.IMP.TMBC,9,9,10,10,10,10
Albania,ALB,"Time to import, documentary compliance (hours)",IC.IMP.TMDC,8,8,8,8,8,8
Algeria,DZA,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,11,10.9,11.1,12.5,11.8,11.3
Algeria,DZA,"Cost of business start-up procedures, female (% of GNI per capita)",IC.REG.COST.PC.FE.ZS,11,10.9,11.1,12.5,11.8,11.3
Algeria,DZA,"Cost of business start-up procedures, male (% of GNI per capita)",IC.REG.COST.PC.MA.ZS,11,10.9,11.1,12.5,11.8,11.3
Algeria,DZA,Time required to start a business (days),IC.REG.DURS,20,18,18,18,18,18
